dataset_id,dataset_name,model,instances,features,processed_features,n_classes,train_val_accuracy,train_val_auc_ovo,train_val_cross_entropy,test_accuracy,test_auc_ovo,test_cross_entropy,time,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,num_leaves,min_child_samples,min_split_gain,reg_alpha,reg_lambda,feature_fraction,bagging_fraction,bagging_freq,bootstrap_type,iterations,depth,l2_leaf_reg,random_strength,od_wait,bagging_temperature,C,kernel,probability
31,credit-g,lgb,1000.0,21.0,61,2,1.0,1.0,0.006895156326378192,0.755,0.7572619047619048,0.7529475901113107,0.6783523559570312,1535.0,24.0,,,,,0.016114705261946628,0.8686566225606241,0.6802128028462259,0.1491923770955268,,25.0,5.0,0.002365856414354315,1.677946055948975e-05,5.488996079331134e-06,0.8994899815365061,0.6944880355460927,6.0,,,,,,,,,,
31,credit-g,cat,1000.0,21.0,61,2,0.99875,1.0,0.0783344472713546,0.765,0.7679761904761905,0.5464810363997922,0.7902345657348633,,,,,,,0.022537350521357878,,,,,,,,,,,,,Bernoulli,770.0,5.0,0.19666811774143023,0.00042316121923128273,38.0,,,,
31,credit-g,svm,1000.0,21.0,61,2,0.8025,0.835327380952381,0.4526440579583458,0.705,0.760952380952381,0.5239094841897989,0.10371065139770508,,,,,,,,,,,0.0071618736857486836,,,,,,,,,,,,,,,,0.2623698879070203,linear,True
1494,qsar-biodeg,rf,1055.0,42.0,41,2,0.9928909952606635,0.9997677557041081,0.10243470905775731,0.8672985781990521,0.9417505030181087,0.30415425962607456,3.9436609745025635,1963.0,29.0,8.0,2.0,log2,False,,,,,,,,,,,,,,,,,,,,,,,
1494,qsar-biodeg,xgb,1055.0,42.0,41,2,0.9490521327014217,0.99139440730628,0.18038095043958524,0.8720379146919431,0.9416498993963783,0.3045442226358957,1.5910909175872803,1659.0,6.0,,,,,0.0018286274214474505,0.6441897308019182,0.9865725537174961,1.0,0.569150114452893,,,,,,,,,,,,,,,,,,
1494,qsar-biodeg,lgb,1055.0,42.0,41,2,0.9881516587677726,0.9995104039167686,0.0844756742820338,0.8909952606635071,0.9465794768611671,0.27364735663421985,0.7614114284515381,1465.0,21.0,,,,,0.007831246844401858,0.5613716588788705,0.9627556914716195,0.3050635748988692,,120.0,5.0,0.0010573176946436925,1.0556447525030728e-07,2.9215526851281775,0.5080153183450754,0.5151994964766484,3.0,,,,,,,,,,
1494,qsar-biodeg,cat,1055.0,42.0,41,2,0.9917061611374408,0.9996422182468695,0.09448622617464761,0.8625592417061612,0.94476861167002,0.2828211975768605,0.9256267547607422,,,,,,,0.023980455859172724,,,,,,,,,,,,,Bernoulli,534.0,5.0,0.8922515630315553,0.6669651958871688,46.0,,,,
1494,qsar-biodeg,svm,1055.0,42.0,41,2,0.8850710900473934,0.940623921162477,0.2948980482960167,0.8530805687203792,0.9097585513078472,0.3768907093470552,0.07677507400512695,,,,,,,,,,,0.0015255392216722823,,,,,,,,,,,,,,,,4.388577122548793,linear,True
40966,MiceProtein,rf,1080.0,82.0,77,8,1.0,1.0,0.046310678717454236,0.9953703703703703,0.9999767293748777,0.293548841711914,9.233468294143677,1983.0,39.0,6.0,1.0,log2,False,,,,,,,,,,,,,,,,,,,,,,,
40966,MiceProtein,xgb,1080.0,82.0,77,8,1.0,1.0,0.010210323556920467,0.9861111111111112,0.9997574955908289,0.09037035088460402,7.0632946491241455,574.0,17.0,,,,,0.019175759349308572,0.9119880048061614,0.9861863851284102,1.0,0.02643653414127753,,,,,,,,,,,,,,,,,,
